Round,EnergyUsed,AliveNodes,ReachedSink,AvgDistToSink
1,0.03890287292951119,40,1,151.1057743477519
2,0.03890287292951119,40,1,151.1057743477519
3,0.03890287292951119,40,1,151.1057743477519
4,0.0375734857001058,38,1,151.98745721823533
5,0.03601050997067169,36,1,151.78754430734446
6,0.03608057258219867,35,1,152.59804713205384
7,0.03608057258219867,35,1,152.59804713205384
8,0.03608057258219867,35,1,152.59804713205384
9,0.03608057258219867,35,1,152.59804713205384
10,0.03608057258219867,35,1,152.59804713205384
11,0.03608057258219867,35,1,152.59804713205384
12,0.03539641070083596,34,1,152.72164345487516
13,0.036029893269458504,34,1,152.72164345487516
14,0.036029893269458504,34,1,152.72164345487516
15,0.036029893269458504,34,1,152.72164345487516
16,0.036029893269458504,34,1,152.72164345487516
17,0.036029893269458504,34,1,152.72164345487516
18,0.036029893269458504,34,1,152.72164345487516
19,0.036029893269458504,34,1,152.72164345487516
20,0.03488695655759224,33,1,151.4299492399939
21,0.03488695655759224,33,1,151.4299492399939
22,0.03488695655759224,33,1,151.4299492399939
23,0.03488695655759224,33,1,151.4299492399939
24,0.03488695655759224,33,1,151.4299492399939
25,0.03488695655759224,33,1,151.4299492399939
26,0.03488695655759224,33,1,151.4299492399939
27,0.03488695655759224,33,1,151.4299492399939
28,0.03488695655759224,33,1,151.4299492399939
29,0.03488695655759224,33,1,151.4299492399939
30,0.03488695655759224,33,1,151.4299492399939
31,0.03488695655759224,33,1,151.4299492399939
32,0.03488695655759224,33,1,151.4299492399939
33,0.03488695655759224,33,1,151.4299492399939
34,0.03488695655759224,33,1,151.4299492399939
35,0.03488695655759224,33,1,151.4299492399939
36,0.03488695655759224,33,1,151.4299492399939
37,0.03488695655759224,33,1,151.4299492399939
38,0.03488695655759224,33,1,151.4299492399939
39,0.03488695655759224,33,1,151.4299492399939
40,0.03488695655759224,33,1,151.4299492399939
41,0.03488695655759224,33,1,151.4299492399939
42,0.03488695655759224,33,1,151.4299492399939
43,0.03488695655759224,33,1,151.4299492399939
44,0.03488695655759224,33,1,151.4299492399939
45,0.03488695655759224,33,1,151.4299492399939
46,0.03488695655759224,33,1,151.4299492399939
47,0.03488695655759224,33,1,151.4299492399939
48,0.03488695655759224,33,1,151.4299492399939
49,0.03488695655759224,33,1,151.4299492399939
50,0.03488695655759224,33,1,151.4299492399939
51,0.03488695655759224,33,1,151.4299492399939
52,0.03488695655759224,33,1,151.4299492399939
53,0.03488695655759224,33,1,151.4299492399939
54,0.03488695655759224,33,1,151.4299492399939
55,0.03488695655759224,33,1,151.4299492399939
56,0.03488695655759224,33,1,151.4299492399939
57,0.03488695655759224,33,1,151.4299492399939
58,0.03488695655759224,33,1,151.4299492399939
59,0.03488695655759224,33,1,151.4299492399939
60,0.03488695655759224,33,1,151.4299492399939
61,0.03488695655759224,33,1,151.4299492399939
62,0.03488695655759224,33,1,151.4299492399939
63,0.03488695655759224,33,1,151.4299492399939
64,0.03488695655759224,33,1,151.4299492399939
65,0.03488695655759224,33,1,151.4299492399939
66,0.03488695655759224,33,1,151.4299492399939
67,0.03488695655759224,33,1,151.4299492399939
68,0.03488695655759224,33,1,151.4299492399939
69,0.03488695655759224,33,1,151.4299492399939
70,0.03488695655759224,33,1,151.4299492399939
71,0.03488695655759224,33,1,151.4299492399939
72,0.03488695655759224,33,1,151.4299492399939
73,0.03488695655759224,33,1,151.4299492399939
74,0.03488695655759224,33,1,151.4299492399939
75,0.03488695655759224,33,1,151.4299492399939
76,0.03488695655759224,33,1,151.4299492399939
77,0.03488695655759224,33,1,151.4299492399939
78,0.03488695655759224,33,1,151.4299492399939
79,0.03488695655759224,33,1,151.4299492399939
80,0.03488695655759224,33,1,151.4299492399939
81,0.03488695655759224,33,1,151.4299492399939
82,0.03488695655759224,33,1,151.4299492399939
83,0.03488695655759224,33,1,151.4299492399939
84,0.03488695655759224,33,1,151.4299492399939
85,0.03488695655759224,33,1,151.4299492399939
86,0.03488695655759224,33,1,151.4299492399939
87,0.03488695655759224,33,1,151.4299492399939
88,0.03488695655759224,33,1,151.4299492399939
89,0.03488695655759224,33,1,151.4299492399939
90,0.03488695655759224,33,1,151.4299492399939
91,0.03488695655759224,33,1,151.4299492399939
92,0.03488695655759224,33,1,151.4299492399939
93,0.03488695655759224,33,1,151.4299492399939
94,0.03488695655759224,33,1,151.4299492399939
95,0.03488695655759224,33,1,151.4299492399939
96,0.03488695655759224,33,1,151.4299492399939
97,0.03488695655759224,33,1,151.4299492399939
98,0.03488695655759224,33,1,151.4299492399939
99,0.03488695655759224,33,1,151.4299492399939
100,0.03488695655759224,33,1,151.4299492399939
