Round,EnergyUsed,AliveNodes,ReachedSink,AvgDistToSink
1,0.05066637407167044,34,2,154.20311989723348
2,0.06020072544719431,32,2,152.76978604306498
3,0.053572045662400605,31,2,153.462044654461
4,0.05350810151752875,31,1,153.462044654461
5,0.06145148720319829,30,2,153.67823192677056
6,0.04993729956776673,30,1,153.67823192677056
7,0.04993729956776673,30,1,153.67823192677056
8,0.04993729956776673,30,1,153.67823192677056
9,0.04993729956776673,30,1,153.67823192677056
10,0.04993729956776673,30,1,153.67823192677056
11,0.049948233318596866,30,1,153.67823192677056
12,0.048617396040365635,30,1,153.67823192677056
13,0.04993729956776673,30,1,153.67823192677056
14,0.05224515511357517,30,1,153.67823192677056
15,0.05091431783534394,30,1,153.67823192677056
16,0.05091431783534394,30,1,153.67823192677056
17,0.05223422136274503,30,1,153.67823192677056
18,0.05224515511357517,30,1,153.67823192677056
19,0.05091431783534394,30,1,153.67823192677056
20,0.05223422136274503,30,1,153.67823192677056
21,0.05224515511357517,30,1,153.67823192677056
22,0.05091431783534394,30,1,153.67823192677056
23,0.05091431783534394,30,1,153.67823192677056
24,0.05223422136274503,30,1,153.67823192677056
25,0.05224515511357517,30,1,153.67823192677056
26,0.05091431783534394,30,1,153.67823192677056
27,0.05223422136274503,30,1,153.67823192677056
28,0.05224515511357517,30,1,153.67823192677056
29,0.05085488732946253,30,1,153.67823192677056
30,0.05091431783534394,30,1,153.67823192677056
31,0.05217479085686362,30,1,153.67823192677056
32,0.05218572460769376,30,1,153.67823192677056
33,0.05091431783534394,30,1,153.67823192677056
34,0.05217479085686362,30,1,153.67823192677056
35,0.05224515511357517,30,1,153.67823192677056
36,0.05085488732946253,30,1,153.67823192677056
37,0.05085488732946253,30,1,153.67823192677056
38,0.05223422136274503,30,1,153.67823192677056
39,0.05218572460769376,30,1,153.67823192677056
40,0.05085488732946253,30,1,153.67823192677056
41,0.05223422136274503,30,1,153.67823192677056
42,0.05218572460769376,30,1,153.67823192677056
43,0.05085488732946253,30,1,153.67823192677056
44,0.05091431783534394,30,1,153.67823192677056
45,0.05236023771771345,30,1,153.67823192677056
46,0.05237117146854359,30,1,153.67823192677056
47,0.05109976469619376,30,1,153.67823192677056
48,0.05236023771771345,30,1,153.67823192677056
49,0.052430601974425,30,1,153.67823192677056
50,0.05104033419031235,30,1,153.67823192677056
51,0.05104033419031235,30,1,153.67823192677056
52,0.05241966822359486,30,1,153.67823192677056
53,0.05237117146854359,30,1,153.67823192677056
54,0.05104033419031235,30,1,153.67823192677056
55,0.05241966822359486,30,1,153.67823192677056
56,0.05237117146854359,30,1,153.67823192677056
57,0.05104033419031235,30,1,153.67823192677056
58,0.052430601974425,30,1,153.67823192677056
59,0.05104033419031235,30,1,153.67823192677056
60,0.05236023771771345,30,1,153.67823192677056
61,0.05109976469619376,30,1,153.67823192677056
62,0.05237117146854359,30,1,153.67823192677056
63,0.05236023771771345,30,1,153.67823192677056
64,0.05109976469619376,30,1,153.67823192677056
65,0.05237117146854359,30,1,153.67823192677056
66,0.05241966822359486,30,1,153.67823192677056
67,0.05104033419031235,30,1,153.67823192677056
68,0.05104033419031235,30,1,153.67823192677056
69,0.052430601974425,30,1,153.67823192677056
70,0.05236023771771345,30,1,153.67823192677056
71,0.05104033419031235,30,1,153.67823192677056
72,0.052430601974425,30,1,153.67823192677056
73,0.05236023771771345,30,1,153.67823192677056
74,0.05104033419031235,30,1,153.67823192677056
75,0.05109976469619376,30,1,153.67823192677056
76,0.05237117146854359,30,1,153.67823192677056
77,0.05236023771771345,30,1,153.67823192677056
78,0.05109976469619376,30,1,153.67823192677056
79,0.05237117146854359,30,1,153.67823192677056
80,0.05236023771771345,30,1,153.67823192677056
81,0.05109976469619376,30,1,153.67823192677056
82,0.05104033419031235,30,1,153.67823192677056
83,0.052430601974425,30,1,153.67823192677056
84,0.04962813117203452,30,1,153.67823192677056
85,0.04976990577017463,30,1,153.67823192677056
86,0.049639064922864656,30,1,153.67823192677056
87,0.05108980929757572,30,1,153.67823192677056
88,0.04830822764463341,30,1,153.67823192677056
89,0.04824557118878903,30,1,153.67823192677056
90,0.05103808659256148,30,1,153.67823192677056
91,0.04962813117203452,30,1,153.67823192677056
92,0.049707249314330244,30,1,153.67823192677056
93,0.049639064922864656,30,1,153.67823192677056
94,0.051027152841731344,30,1,153.67823192677056
95,0.04824557118878903,30,1,153.67823192677056
96,0.04976990577017463,30,1,153.67823192677056
97,0.04957640846702027,30,1,153.67823192677056
98,0.05108980929757572,30,1,153.67823192677056
99,0.04824557118878903,30,1,153.67823192677056
100,0.05103808659256148,30,1,153.67823192677056
